keyword,sentence
read,I want read.
read,Read is here.
read,I see the read.
rectangle,Rectangle makes me happy.
rectangle,I want rectangle.
rectangle,Do you like rectangle?
remember,Remember makes me happy.
remember,Do you like remember?
remember,Remember is my favorite.
remote,I see the remote.
remote,Remote makes me happy.
remote,I have a remote.
residence,I like residence.
residence,Residence is here.
residence,Residence is nice.
restaurant,Restaurant is nice.
restaurant,Restaurant is here.
restaurant,I like restaurant.
rest,I want rest.
rest,Rest makes me happy.
rest,I have a rest.
return,I have a return.
return,Return is nice.
return,I love return!
rhombus,Rhombus makes me happy.
rhombus,I love rhombus!
rhombus,Do you like rhombus?
ride,Ride makes me happy.
ride,I want ride.
ride,I love ride!
ring,I want ring.
ring,I see the ring.
ring,I love ring!
rinse,Rinse makes me happy.
rinse,Rinse is my favorite.
rinse,Rinse is nice.
river,River is nice.
river,I like river.
river,I want river.
rocket,Rocket is my favorite.
rocket,Rocket is nice.
rocket,Rocket is here.
root,I see the root.
root,Do you like root?
root,Root is nice.
rose,Rose is my favorite.
rose,I like rose.
rose,Rose is nice.
route,I want route.
route,Route is here.
route,Route makes me happy.
rub,I want rub.
rub,Do you like rub?
rub,Rub is nice.
rucksack,Rucksack is here.
rucksack,Rucksack is my favorite.
rucksack,Do you like rucksack?
run,I love run!
run,I see the run.
run,Run is my favorite.
russian,Russian is my favorite.
russian,I like russian.
russian,I love russian!
sad,I see the sad.
sad,Sad is nice.
sad,Sad is my favorite.
saint,Saint is here.
saint,I like saint.
saint,Saint is nice.
salad,Salad is my favorite.
salad,Salad is nice.
salad,I have a salad.
salty,Do you like salty?
salty,I want salty.
salty,I like salty.
salt,I love salt!
salt,Do you like salt?
salt,Salt is nice.
sandwich,I like sandwich.
sandwich,Sandwich is here.
sandwich,Do you like sandwich?
saturday,I have a saturday.
saturday,Saturday is nice.
saturday,Saturday is my favorite.
sausages,I see the sausages.
sausages,I love sausages!
sausages,Sausages is nice.
sausage,Sausage is here.
sausage,I like sausage.
sausage,Do you like sausage?
say,Do you like say?
say,I like say.
say,Say is nice.
scared,I like scared.
scared,I want scared.
scared,Do you like scared?
scarf,Do you like scarf?
scarf,Scarf is nice.
scarf,I love scarf!
schoolteacher,I see the schoolteacher.
schoolteacher,I like schoolteacher.
schoolteacher,Schoolteacher makes me happy.
schoolyard,Schoolyard makes me happy.
schoolyard,Do you like schoolyard?
schoolyard,Schoolyard is here.
school,I love school!
school,School is here.
school,Do you like school?
science,Science makes me happy.
science,Science is here.
science,I see the science.
scissors,Scissors is here.
scissors,Scissors is my favorite.
scissors,I love scissors!
seal,I love seal!
seal,I have a seal.
seal,Seal is nice.
search,Search is here.
search,I see the search.
search,I like search.
sea,I like sea.
sea,Sea is nice.
sea,Sea is my favorite.
see,I have a see.
see,See is nice.
see,Do you like see?
sell,I love sell!
sell,I have a sell.
sell,I like sell.
september,I want september.
september,I like september.
september,September makes me happy.
sew,I see the sew.
sew,Sew is here.
sew,I want sew.
shampoo,I have a shampoo.
shampoo,Shampoo is here.
shampoo,I love shampoo!
shapes,Shapes is my favorite.
shapes,I like shapes.
shapes,I want shapes.
share,I love share!
share,Share makes me happy.
share,Share is nice.
sheep,I want sheep.
sheep,Sheep is here.
sheep,I see the sheep.
shell,I want shell.
shell,I love shell!
shell,Shell is my favorite.
shirt,Shirt is my favorite.
shirt,Shirt is nice.
shirt,I love shirt!
shoes,I like shoes.
shoes,I have a shoes.
shoes,I love shoes!
shop,I see the shop.
shop,Do you like shop?
shop,Shop makes me happy.
short,I have a short.
short,Short makes me happy.
short,Short is nice.
shout,Shout is nice.
shout,I have a shout.
shout,I see the shout.
showers,Showers is here.
showers,I want showers.
showers,Showers makes me happy.
show,Show is here.
show,Show makes me happy.
show,Show is nice.
silver,Silver makes me happy.
silver,I want silver.
silver,Do you like silver?
sing,I love sing!
sing,Sing is my favorite.
sing,Sing is nice.
sister,Sister is nice.
sister,Sister is my favorite.
sister,I want sister.
sit,Do you like sit?
sit,I want sit.
sit,Sit is here.
skin,I see the skin.
skin,Skin is nice.
skin,I like skin.
skirt,Skirt is nice.
skirt,Skirt is my favorite.
skirt,I want skirt.
ski,I have a ski.
ski,I see the ski.
ski,Ski is here.
slalom,Slalom makes me happy.
slalom,Slalom is my favorite.
slalom,Do you like slalom?
sledge,I want sledge.
sledge,Do you like sledge?
sledge,I love sledge!
sleeping,I love sleeping!
sleeping,Sleeping is here.
sleeping,Do you like sleeping?
sleep,Do you like sleep?
sleep,Sleep makes me happy.
sleep,Sleep is here.
slim,I like slim.
slim,Slim is here.
slim,Slim is my favorite.
slow,Slow makes me happy.
slow,I want slow.
slow,I like slow.
small,I like small.
small,I want small.
small,Small is nice.
smell,I like smell.
smell,Smell is nice.
smell,I see the smell.
smooth,I love smooth!
smooth,Smooth makes me happy.
smooth,Smooth is my favorite.
snail,I want snail.
snail,Snail is my favorite.
snail,Do you like snail?
snakes,I like snakes.
snakes,Do you like snakes?
snakes,Snakes is here.
snake,I have a snake.
snake,I love snake!
snake,I see the snake.
snow,I want snow.
snow,I like snow.
snow,Snow is here.
soap,I like soap.
soap,Soap is here.
soap,Soap makes me happy.
soccer,Soccer makes me happy.
soccer,Soccer is here.
soccer,I see the soccer.
socks,I like socks.
socks,I love socks!
socks,I see the socks.
sofa,Sofa is nice.
sofa,Do you like sofa?
sofa,Sofa is here.
soft,Soft makes me happy.
soft,I have a soft.
soft,I like soft.
sorry,I like sorry.
sorry,Sorry makes me happy.
sorry,Sorry is my favorite.
soup,Soup is nice.
soup,I love soup!
soup,Do you like soup?
speak,I see the speak.
speak,Speak is my favorite.
speak,I have a speak.
speech,I like speech.
speech,I want speech.
speech,I see the speech.
spider,Spider is my favorite.
spider,I see the spider.
spider,I have a spider.
spiral,I see the spiral.
spiral,Spiral is nice.
spiral,Spiral is here.
sponge,I see the sponge.
sponge,Sponge is my favorite.
sponge,I have a sponge.
spoon,Spoon is nice.
spoon,I want spoon.
spoon,Spoon is here.
sport,Sport makes me happy.
sport,I love sport!
sport,Sport is nice.
spring,I have a spring.
spring,I want spring.
spring,Do you like spring?
squared,Squared makes me happy.
squared,I like squared.
squared,I see the squared.
square,I have a square.
square,Square makes me happy.
square,Square is nice.
squirrel,I like squirrel.
squirrel,I love squirrel!
squirrel,I want squirrel.
stairs,I want stairs.
stairs,I like stairs.
stairs,I love stairs!
stamps,I have a stamps.
stamps,I love stamps!
stamps,Stamps is my favorite.
stand,I like stand.
stand,Stand is here.
stand,I want stand.
steal,I love steal!
steal,I want steal.
steal,I see the steal.
stick,Do you like stick?
stick,Stick is nice.
stick,I love stick!
stop,I like stop.
stop,Stop is nice.
stop,I want stop.
straighten,I like straighten.
straighten,Straighten is my favorite.
straighten,I see the straighten.
strawberry,Strawberry is my favorite.
strawberry,Strawberry is here.
strawberry,Strawberry is nice.
street,Street is nice.
street,I want street.
street,Do you like street?
stretcher,I have a stretcher.
stretcher,Do you like stretcher?
stretcher,Stretcher is my favorite.
stripy,Stripy makes me happy.
stripy,I see the stripy.
stripy,I want stripy.
stroll,I see the stroll.
stroll,I want stroll.
stroll,I like stroll.
strong,Strong is my favorite.
strong,I see the strong.
strong,Strong is nice.
study,I want study.
study,Do you like study?
study,Study is nice.
success,Success is here.
success,Success is nice.
success,I see the success.
sugar,Do you like sugar?
sugar,Sugar makes me happy.
sugar,I want sugar.
summer,I like summer.
summer,Summer is my favorite.
summer,Summer makes me happy.
sunday,Sunday is here.
sunday,Do you like sunday?
sunday,Sunday is my favorite.
sun,I want sun.
sun,Sun is nice.
sun,Do you like sun?
support,I love support!
support,I see the support.
support,Support is my favorite.
surgical,I have a surgical.
surgical,I love surgical!
surgical,Surgical is my favorite.
surprised,Surprised is my favorite.
surprised,Surprised makes me happy.
surprised,I have a surprised.
sweet,I like sweet.
sweet,Sweet is here.
sweet,Sweet makes me happy.
swimming,I see the swimming.
swimming,I love swimming!
swimming,Swimming makes me happy.
swimsuit,I want swimsuit.
swimsuit,I like swimsuit.
swimsuit,I see the swimsuit.
swim,Swim is nice.
swim,I have a swim.
swim,I want swim.
swing,Swing is here.
swing,I want swing.
swing,Swing is nice.
switch,Switch is my favorite.
switch,I have a switch.
switch,Switch is nice.
synagogue,I have a synagogue.
synagogue,Synagogue is my favorite.
synagogue,I love synagogue!
tablet,Tablet is nice.
tablet,I love tablet!
tablet,Tablet is here.
table,Table is here.
table,I like table.
table,Table is nice.
take,I love take!
take,I want take.
take,I see the take.
tale,I want tale.
tale,Tale is my favorite.
tale,Do you like tale?
tall,Tall is nice.
tall,I have a tall.
tall,Do you like tall?
tambourine,Tambourine is my favorite.
tambourine,I have a tambourine.
tambourine,I love tambourine!
teatime,Do you like teatime?
teatime,Teatime is here.
teatime,I like teatime.
teeth,Teeth makes me happy.
teeth,Teeth is nice.
teeth,I have a teeth.
telephone,I see the telephone.
telephone,Telephone is my favorite.
telephone,I want telephone.
television,Television is my favorite.
television,I see the television.
television,Television is nice.
thanks,Thanks makes me happy.
thanks,I want thanks.
thanks,Thanks is my favorite.
theatre,I want theatre.
theatre,Do you like theatre?
theatre,Theatre is nice.
there,There is here.
there,Do you like there?
there,I like there.
thermometer,I love thermometer!
thermometer,Thermometer makes me happy.
thermometer,Thermometer is here.
think,I see the think.
think,I want think.
think,Do you like think?
throw,I see the throw.
throw,I have a throw.
throw,Throw makes me happy.
thunder,Thunder is my favorite.
thunder,I want thunder.
thunder,I love thunder!
thursday,I see the thursday.
thursday,Thursday is my favorite.
thursday,I love thursday!
ticket,I have a ticket.
ticket,Ticket is my favorite.
ticket,Ticket is nice.
ticktacktoe,I have a ticktacktoe.
ticktacktoe,I see the ticktacktoe.
ticktacktoe,Ticktacktoe is nice.
tie,I see the tie.
tie,Tie is here.
tie,I like tie.
tiger,Tiger is here.
tiger,I like tiger.
tiger,Tiger is my favorite.
tights,Tights is nice.
tights,I love tights!
tights,I like tights.
tired,Tired is here.
tired,Do you like tired?
tired,Tired is my favorite.
toast,Do you like toast?
toast,Toast is my favorite.
toast,I want toast.
today,I want today.
today,I love today!
today,Do you like today?
toiletries,Do you like toiletries?
toiletries,Toiletries makes me happy.
toiletries,I love toiletries!
toilet,I want toilet.
toilet,Toilet is here.
toilet,Toilet makes me happy.
tomato,I like tomato.
tomato,Do you like tomato?
tomato,I have a tomato.
tomorrow,I want tomorrow.
tomorrow,Tomorrow is here.
tomorrow,I have a tomorrow.
tongue,I want tongue.
tongue,Do you like tongue?
tongue,I have a tongue.
toothbrush,I have a toothbrush.
toothbrush,I see the toothbrush.
toothbrush,I love toothbrush!
toothpaste,I like toothpaste.
toothpaste,Toothpaste is nice.
toothpaste,Toothpaste makes me happy.
tortoise,Tortoise is nice.
tortoise,I love tortoise!
