input,target
read,I like to read books.
read,Can you read this story?
read,Read a letter with me.
rectangle,A door is a rectangle.
rectangle,Draw a rectangle on the paper.
rectangle,A rectangle has four sides.
remember,Remember to bring your bag.
remember,I remember my friend's name.
remember,Can you remember this song?
remote_control,Use the remote control for the TV.
remote_control,The remote control is on the sofa.
remote_control,Can you find the remote control?
remote,I use the remote for the TV.
remote,The remote is on the table.
remote,Can you find the remote?
residence,This is my residence.
residence,We live in a big residence.
residence,The residence has a door.
restaurant,We eat at the restaurant.
restaurant,The restaurant has pizza.
restaurant,Let’s go to the restaurant.
rest,I need to rest.
rest,Let’s rest on the bed.
rest,Rest makes me feel better.
return,Please return my toy.
return,I return home after school.
return,Return the book to the shelf.
rhombus,A rhombus has four sides.
rhombus,Draw a rhombus.
rhombus,The shape is a rhombus.
ride_a_bike,I can ride a bike.
ride_a_bike,Let’s ride a bike outside.
ride_a_bike,She rides a bike fast.
ring,This is a ring.
ring,Mom wears a ring.
ring,The ring is shiny.
rinse,Rinse your hands.
rinse,I rinse my mouth.
rinse,"Rinse the cup, please."
river,The river is long.
river,Fish swim in the river.
river,We walk by the river.
rocket,The rocket goes up.
rocket,I see a rocket.
rocket,The rocket is fast.
root,The tree has roots.
root,Roots are under the ground.
root,I see a root.
rose,This is a rose.
rose,The rose is red.
rose,I smell the rose.
route,This is the route.
route,We follow the route.
route,The route is long.
rub,Rub your hands.
rub,I rub my eyes.
rub,Rub the soap on your skin.
rucksack,I have a rucksack.
rucksack,The rucksack is blue.
rucksack,Put books in the rucksack.
run,I run fast.
run,Let’s run outside.
run,She can run.
russian_salad,This is Russian salad.
russian_salad,I eat Russian salad.
russian_salad,Russian salad is tasty.
sad,I feel sad.
sad,She looks sad.
sad,The dog is sad.
saint_george,Today is Saint George’s day.
saint_george,We read about Saint George.
saint_george,Saint George is brave.
saint_john_s_day,It is Saint John's Day.
saint_john_s_day,We celebrate Saint John's Day.
saint_john_s_day,Saint John's Day is fun.
salad,This is a salad.
salad,I like to eat salad.
salad,The salad is green.
salty,The chips are salty.
salty,This soup is salty.
salty,I taste something salty.
salt,Please pass the salt.
salt,Salt is white.
salt,I put salt on my food.
sandwich,I eat a sandwich.
sandwich,The sandwich has cheese.
sandwich,She likes her sandwich.
saturday,Today is Saturday.
saturday,I play on Saturday.
saturday,Saturday is my favorite day.
sausages,I like sausages.
sausages,Sausages are for breakfast.
sausages,The sausages are hot.
sausage,This is a sausage.
sausage,I eat a sausage.
sausage,The sausage is tasty.
say,Say hello to your friend.
say,Can you say my name?
say,I say thank you.
scared,I feel scared.
scared,The cat is scared.
scared,She is scared of the dark.
scarf,I wear a scarf.
scarf,The scarf is warm.
scarf,My scarf is red.
schoolteacher,My schoolteacher is nice.
schoolteacher,The schoolteacher helps me.
schoolteacher,I listen to my schoolteacher.
schoolyard,We play in the schoolyard.
schoolyard,The schoolyard is big.
schoolyard,I run in the schoolyard.
school,I go to school.
school,School starts at eight.
school,My school is close.
science,I like science class.
science,We learn science at school.
science,Science is fun.
scissors,I use scissors to cut.
scissors,Be careful with scissors.
scissors,The scissors are sharp.
seal,The seal swims in the sea.
seal,I saw a seal at the zoo.
seal,The seal claps its flippers.
search,Let’s search for my toy.
search,I search for my shoes.
search,Can you search with me?
sea,The sea is blue.
sea,We swim in the sea.
sea,Fish live in the sea.
see,I see a bird.
see,Can you see me?
see,We see the sun.
sell,I want to sell my toy.
sell,They sell apples at the shop.
sell,She will sell lemonade.
september,September is a month.
september,School starts in September.
september,My birthday is in September.
sew,Grandma can sew a dress.
sew,I want to sew a button.
sew,She likes to sew clothes.
shampoo,I wash my hair with shampoo.
shampoo,The shampoo smells nice.
shampoo,Please use shampoo in the bath.
shapes,I see many shapes.
shapes,Circle is a shape.
shapes,Can you draw shapes?
share,I share my toys.
share,Please share your snack.
share,We share with friends.
sheep,The sheep is white.
sheep,I see sheep in the field.
sheep,Sheep say baa.
shell,I found a shell on the beach.
shell,The shell is pretty.
shell,Put the shell in your pocket.
shirt,My shirt is blue.
shirt,I wear a shirt to school.
shirt,The shirt is clean.
shoes,Put on your shoes.
shoes,My shoes are new.
shoes,These shoes are big.
shop,We go to the shop.
shop,The shop sells candy.
shop,I see a shop on the street.
short,The pencil is short.
short,He wears short pants.
short,My hair is short.
shout,Please do not shout.
shout,He can shout very loud.
shout,I shout for help.
showers,I take showers every day.
showers,Showers make me clean.
showers,We have showers at home.
show,I watch a show on TV.
show,The show is funny.
show,Let’s go to the puppet show.
silver,The spoon is silver.
silver,I see a silver coin.
silver,She wears a silver ring.
sing,I like to sing.
sing,Let’s sing a song.
sing,She can sing well.
sister,I have a sister.
sister,My sister is little.
sister,Sister plays with me.
sit,Please sit down.
sit,I sit on the chair.
sit,Let’s sit together.
skin,My skin is soft.
skin,Skin covers my body.
skin,She has light skin.
skirt,She wears a skirt.
skirt,The skirt is red.
skirt,I like my new skirt.
ski,I want to ski.
ski,He can ski fast.
ski,Ski down the hill.
slalom,Slalom is a ski race.
slalom,She races in slalom.
slalom,Slalom is fun to watch.
sledge,We ride a sledge.
sledge,The sledge slides on snow.
sledge,I like the red sledge.
sleeping_bag,I sleep in a sleeping bag.
sleeping_bag,The sleeping bag is warm.
sleeping_bag,Take your sleeping bag camping.
sleep,I need to sleep.
sleep,Sleep early at night.
sleep,Sleep helps me grow.
slim,The cat is slim.
slim,He has a slim book.
slim,The tree is slim.
slow,The turtle is slow.
slow,Walk slow and safe.
slow,"Slow down, please."
small,I have a small toy.
small,The dog is small.
small,Small things are cute.
smell,I smell the flower.
smell,The food smells good.
smell,Can you smell this?
smooth,The rock is smooth.
smooth,Smooth skin feels nice.
smooth,I like smooth paper.
snail,The snail moves slowly.
snail,I see a snail outside.
snail,The snail has a shell.
snakes_and_ladders,We play snakes and ladders.
snakes_and_ladders,Snakes and ladders is fun.
snakes_and_ladders,I won at snakes and ladders.
snake,The snake is long.
snake,Snakes live in the grass.
snake,I saw a snake today.
snow,Snow is cold.
snow,We play in the snow.
snow,Snow covers the ground.
soap,Use soap to wash hands.
soap,Soap makes bubbles.
soap,The soap smells nice.
soccer,I like to play soccer.
soccer,Soccer is a fun game.
soccer,We kick the soccer ball.
socks,I wear socks every day.
socks,My socks are clean.
socks,Put on your socks.
sofa,I sit on the sofa.
sofa,The sofa is soft.
sofa,The sofa is big.
soft,The pillow is soft.
soft,Soft toys are nice.
soft,I like soft blankets.
sorry,I say sorry to my friend.
sorry,Sorry if I made you sad.
sorry,She says sorry to her mom.
soup,The soup is hot.
soup,I eat soup with a spoon.
soup,Mom made chicken soup.
speak,I can speak loudly.
speak,She speaks to her teacher.
speak,Please speak slowly.
speech_therapy,I go to speech therapy.
speech_therapy,Speech therapy helps me talk.
speech_therapy,My friend goes to speech therapy.
spider,The spider spins a web.
spider,I see a spider on the wall.
spider,Spiders have eight legs.
spiral_shaped_pastry,This is a spiral shaped pastry.
spiral_shaped_pastry,I like spiral shaped pastry.
spiral_shaped_pastry,The pastry looks like a spiral.
sponge,The sponge is soft and yellow.
sponge,I use a sponge to clean.
sponge,The sponge soaks up water.
spoon,I eat with a spoon.
spoon,The spoon is shiny.
spoon,"Give me a spoon, please."
sport,Soccer is a sport.
sport,I like to play sport.
sport,We do sport at school.
spring,Spring is a season.
spring,Flowers bloom in spring.
spring,Spring is warm and nice.
squared,The paper is squared.
squared,I draw on squared paper.
squared,Squared shapes are neat.
square,A square has four sides.
square,Draw a big square.
square,The box is a square.
squirrel,The squirrel climbs the tree.
squirrel,I see a squirrel in the park.
squirrel,Squirrels eat nuts.
stairs,Go up the stairs.
stairs,The stairs are long.
stairs,I walk down the stairs.
stamps,I collect stamps.
stamps,Put a stamp on the letter.
stamps,The stamp is colorful.
stand,Please stand up.
stand,I stand on the floor.
stand,Stand next to me.
steal_the_bacon,We play steal the bacon.
steal_the_bacon,Steal the bacon is a game.
steal_the_bacon,I run fast in steal the bacon.
stick,I found a stick.
stick,The dog likes the stick.
stick,Draw with a stick in the sand.
stop,Please stop running.
stop,Stop and look both ways.
stop,I stop at the red light.
straighten,Straighten your back.
straighten,I straighten my shirt.
straighten,Please straighten the line.
strawberry,I like strawberry jam.
strawberry,The strawberry is red.
strawberry,She eats a strawberry.
street,I live on this street.
street,The street is busy.
street,Cross the street carefully.
stretcher,The doctor uses a stretcher.
stretcher,He lies on the stretcher.
stretcher,The stretcher has wheels.
stripy,My shirt is stripy.
stripy,The cat has stripy fur.
stripy,I see a stripy sock.
stroll,We take a stroll in the park.
stroll,Let’s stroll after lunch.
stroll,I stroll with my mom.
strong,Dad is strong.
strong,I want to be strong.
strong,The wind is strong today.
study,I study every day.
study,She studies at her desk.
study,Let’s study together.
success,You did it! That is success.
success,Success makes me happy.
success,Success means you win.
sugar,Sugar is sweet.
sugar,I put sugar in my tea.
sugar,Don’t eat too much sugar.
summer,Summer is hot.
summer,We swim in summer.
summer,Summer is my favorite season.
sunday,Sunday is a holiday.
sunday,I rest on Sunday.
sunday,Sunday comes after Saturday.
sun,The sun is bright.
sun,I see the sun in the sky.
sun,The sun gives us light.
support,I give support to my friend.
support,Support helps everyone.
support,We all need support.
surgical_gloves,Wear surgical gloves to stay clean.
surgical_gloves,Surgical gloves are in the box.
surgical_gloves,Put on surgical gloves before helping.
surprised,I feel surprised.
surprised,The noise made me surprised.
surprised,Surprised faces look funny.
sweet,Candy is sweet.
sweet,I like sweet apples.
sweet,The cake tastes sweet.
swimming_pool,I swim in the swimming pool.
swimming_pool,The swimming pool is blue.
swimming_pool,Let’s go to the swimming pool.
swimsuit,I wear a swimsuit to swim.
swimsuit,The swimsuit is new.
swimsuit,Put on your swimsuit.
swim,I swim in the water.
swim,Swimming is fun.
swim,Let’s swim together.
swing,I like the swing.
swing,The swing goes back and forth.
swing,Let’s play on the swing.
switch,Turn on the light switch.
switch,The switch is on the wall.
switch,Flip the switch to start.
synagogue,We visit the synagogue.
synagogue,The synagogue is quiet.
synagogue,People pray in the synagogue.
tablet,I play games on a tablet.
tablet,The tablet is on the table.
tablet,A tablet can show pictures.
table,The table is round.
table,We eat at the table.
table,Put your book on the table.
take,Take your bag.
take,I take a cookie.
take,"Take a seat, please."
tale,I like to hear a tale.
tale,This tale is funny.
tale,Tell me a tale.
tall,The tree is tall.
tall,I see a tall building.
tall,The giraffe is tall.
tambourine,The tambourine makes music.
tambourine,Shake the tambourine.
tambourine,I play the tambourine.
teatime,It is teatime now.
teatime,We have snacks at teatime.
teatime,Teatime is in the afternoon.
teeth,Brush your teeth.
teeth,Teeth help us eat.
teeth,My teeth are white.
telephone,The telephone is ringing.
telephone,I talk on the telephone.
telephone,Pick up the telephone.
television,The television is on.
television,I watch cartoons on television.
television,Turn off the television.
thanks,Thanks for your help.
thanks,I say thanks to everyone.
thanks,Thanks makes people happy.
theatre,We go to the theatre.
theatre,The theatre is big.
theatre,I watch a play at the theatre.
thermometer,The thermometer checks temperature.
thermometer,I use a thermometer when I am sick.
thermometer,The thermometer is in the box.
think,I think about my day.
think,Think before you speak.
think,It is good to think.
throw,Throw the ball to me.
throw,I throw paper in the bin.
throw,Throw your hands up.
thunder,Thunder is loud.
thunder,I hear thunder at night.
thunder,Thunder comes with rain.
thursday,Thursday is before Friday.
thursday,We have art on Thursday.
thursday,Thursday is a school day.
ticket,I have a ticket.
ticket,The ticket is for the bus.
ticket,"Show your ticket, please."
ticktacktoe,I play ticktacktoe with a friend.
ticktacktoe,Ticktacktoe uses X and O.
ticktacktoe,Let’s draw a ticktacktoe game.
tie,The tie is blue.
tie,I wear a tie at school.
tie,Tie your tie neatly.
tiger,The tiger has stripes.
tiger,I see a tiger at the zoo.
tiger,Tigers are big cats.
tights,The tights are soft.
tights,Wear tights in winter.
tights,My tights are pink.
tired,I feel tired after running.
